,xtr_0,xtr_1,ytr_0,xte_0,xte_1,yte_0,modelte_0,epi_0,loss
22,1.0,-0.7894736842105263,0.4314838431443099,0.9333333333333331,-2.0,3.7859382320695727,1.5157982,0.12849323,43.236891174316405
23,1.0,-0.6842105263157895,0.27635918940469767,1.0666666666666664,-2.0,3.847500739093003,1.456088,0.10350101,43.01485900878906
24,1.0,-0.5789473684210527,0.14339520048503007,1.2000000000000002,-2.0,3.953430750303416,1.4173352,0.13127007,42.839657592773435
25,1.0,-0.4736842105263158,0.032591876385307084,1.3333333333333335,-2.0,4.0561226845821725,1.3815088,0.13422333,42.55580596923828
26,1.0,-0.368421052631579,-0.056050782894471296,1.4666666666666668,-2.0,4.118295027668565,1.3488199,0.14892991,42.25072250366211
27,1.0,-0.26315789473684215,-0.12253277735430511,1.6,-2.0,4.123669780821476,1.31488,0.16189848,42.219094848632814
28,1.0,-0.1578947368421053,-0.1668541069941943,1.7333333333333334,-2.0,4.079332832509228,1.2835823,0.17407022,41.889547729492186
29,1.0,-0.052631578947368474,-0.18901477181413892,1.8666666666666667,-2.0,4.009783989523286,1.2459663,0.19832401,41.70113754272461
30,1.0,0.05263157894736836,-0.18901477181413892,2.0,-2.0,3.9455978889133316,1.2126139,0.21122397,41.747895050048825
31,1.0,0.1578947368421053,-0.1668541069941943,-2.0,-1.8666666666666667,3.430042333353239,1.108176,0.1455457,41.458132934570315
32,1.0,0.26315789473684204,-0.12253277735430516,-1.8666666666666667,-1.8666666666666667,3.494228433968605,1.1439929,0.13841997,41.21114501953125
33,1.0,0.36842105263157876,-0.05605078289447146,-1.7333333333333334,-1.8666666666666667,3.5637772769613076,1.1831034,0.1346081,40.87904357910156
34,1.0,0.4736842105263157,0.03259187638530697,-1.6,-1.8666666666666667,3.608114225278814,1.2164074,0.1214418,40.70212860107422
35,1.0,0.5789473684210527,0.14339520048503007,-1.4666666666666668,-1.8666666666666667,3.6027394721264634,1.2487537,0.11350633,40.545989227294925
36,1.0,0.6842105263157894,0.2763591894046975,-1.3333333333333335,-1.8666666666666667,3.5405671290336382,1.2767427,0.06760834,40.39991683959961
37,1.0,0.7894736842105261,0.43148384314430954,-1.2,-1.8666666666666667,3.437875194741387,1.3127303,0.08331491,40.378475952148435
38,1.0,0.894736842105263,0.6087691617038664,-1.0666666666666667,-1.8666666666666667,3.331945183513599,1.3364344,0.06382595,40.26451797485352
39,1.0,1.0,0.808215145083368,-0.9333333333333333,-1.8666666666666667,3.2703826764757595,1.3955268,0.09874837,39.88367385864258
40,1.0,1.0,0.808215145083368,-0.8,-1.8666666666666667,3.2952438205977375,1.476716,0.16684575,39.958841705322264
41,0.8947368421052632,1.0,0.7828087558734692,-0.6666666666666667,-1.8666666666666667,3.4272740555746464,1.6345878,0.28280187,39.66220932006836
42,0.7894736842105263,1.0,0.8172534098255115,-0.5333333333333334,-1.8666666666666667,3.65592167945969,1.8621062,0.3070119,39.59573135375977
43,0.6842105263157895,1.0,0.9193708349812388,-0.3999999999999999,-1.8666666666666667,3.939093157952085,2.1116521,0.34321505,39.373192596435544
44,0.5789473684210527,1.0,1.084413993862463,-0.2666666666666666,-1.8666666666666667,4.213397870694921,2.3645267,0.36719942,39.22192535400391
45,0.4736842105263158,1.0,1.2948836562870314,-0.1333333333333333,-1.8666666666666667,4.411999149629266,2.5472038,0.35935163,38.94751892089844
46,0.368421052631579,1.0,1.5229999367669729,0.0,-1.8666666666666667,3.4844444444444447,2.5799935,0.35881287,38.82032928466797
47,0.26315789473684215,1.0,1.7354227906870292,0.1333333333333333,-1.8666666666666667,4.411999148468834,2.576545,0.35776496,38.75979461669922
48,0.1578947368421053,1.0,1.899311456441779,0.2666666666666666,-1.8666666666666667,4.213397870238937,2.3961353,0.361551,38.52233200073242
49,0.052631578947368474,1.0,1.988497885091214,0.3999999999999999,-1.8666666666666667,3.9390931577624864,2.133015,0.33447534,38.288429260253906
50,-0.05263157894736836,1.0,1.9884978882241269,0.5333333333333332,-1.8666666666666667,3.6559216794060583,1.8876774,0.3260765,38.15681457519531
51,-0.1578947368421053,1.0,1.8993114573918617,0.6666666666666665,-1.8666666666666667,3.427274055588952,1.6820381,0.28275055,38.28269577026367
52,-0.26315789473684204,1.0,1.7354227911531943,0.7999999999999998,-1.8666666666666667,3.295243820637188,1.4977126,0.19227977,37.81569900512695
53,-0.36842105263157876,1.0,1.5229999370037701,0.9333333333333331,-1.8666666666666667,3.2703826765140174,1.3991338,0.12892802,37.750790405273435
54,-0.4736842105263157,1.0,1.2948836563908754,1.0666666666666664,-1.8666666666666667,3.3319451835374476,1.3472482,0.083603606,37.68970489501953
